iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.05926251097453907,0.08115224559849056,0.09700319622766582,0.10454590389799744,0.6589789115789962,0.006446763018355745,0.6512824421380753,0.002163311502451194
1,0.5040552657219324,0.04420384547379488,0.5098044521639769,0.011796488335328984,0.5999652964095302,0.002199129646500739,0.5908889173513175,0.0014992610315307927
2,0.4853682739861602,0.027710531742819074,0.5027321145770054,0.017240824662813816,0.58951251513018,0.004974929775396831,0.5765025375846501,0.001545164553078289
3,0.4538528318684379,0.03343318939602468,0.4889007166138077,0.033574180663802015,0.5722839048063275,0.004765581052799726,0.5559280744762125,0.004408088966755544
4,0.47011640103179075,0.042482179872527684,0.4998469282925827,0.022229414757804437,0.5558225480976204,0.0059731146057360645,0.5392543822864979,0.005079041957823061
5,0.48071437844855575,0.028527804402403618,0.51280152616092,0.016564060871353394,0.5450057069054093,0.007338850530655271,0.524115529953199,0.005448034281828159
6,0.4952297976196137,0.04672560427543286,0.5258526508794553,0.016639028323066084,0.5369503935678516,0.013098953402937631,0.5133997271087372,0.004035471374463694
7,0.49241585445094216,0.05106707314471014,0.5286513558310069,0.013259039232808153,0.5287964097549775,0.00941736131921375,0.5001651812265469,0.009643785419060526
8,0.5061848531502531,0.04528028905681419,0.5411374301369459,0.013336525308405048,0.5256487324365475,0.008499529713651699,0.4966601118037019,0.010147778265896525
9,0.5188000979442358,0.058974582557470324,0.5464709713665801,0.014133059566676048,0.5230112027469529,0.0074943084657916464,0.4917401869924059,0.010729081485756112
10,0.5277494321594822,0.04877319824394653,0.5779183795495865,0.018744882456792327,0.5164740992606608,0.008171019010560656,0.47755616726901967,0.01525792549353917
11,0.5437428731215909,0.05250681490273358,0.5844427047263544,0.021216466294426257,0.513230402604699,0.010394293386357091,0.46742514469884383,0.01766195111491775
12,0.5511896104978229,0.05727941902388913,0.5957307036379383,0.02003208834510629,0.5105689621726868,0.011447857558716372,0.4610744199469572,0.016585552858375506
13,0.5690845592693395,0.05178789196105066,0.6038258591374156,0.01788151824808565,0.5087625444210648,0.013539066895358597,0.45653736336029327,0.016147971935581394
14,0.5700892695516352,0.05080615101767052,0.6227501421379251,0.01399766531545852,0.5087341350409869,0.018823577473842078,0.45175746558864927,0.014773087547110623
15,0.5844429101574823,0.04008622067960976,0.6261824537588293,0.011627825059518877,0.5065774241444934,0.01792803249409162,0.4468236622500298,0.015429292850425358
16,0.5983914955732763,0.04904457032253813,0.6340144573671345,0.019295009339818224,0.5045164654405261,0.015565127599386535,0.44331189527384324,0.017363778595414107
17,0.6047441676045795,0.055142981466839776,0.634278229482125,0.012375422788264888,0.5000392721101474,0.018841006004064027,0.4364806613428681,0.01548440909165261
18,0.6133373009089059,0.0560672638529512,0.6491908774304255,0.007579735225685243,0.4992255744678024,0.021068796041033407,0.4303395165727119,0.01522559481243464
19,0.6086616316249692,0.051740693979249776,0.6531610964420557,0.02116734214288648,0.4956209617001723,0.02200066056725717,0.4255284712656768,0.01608929620355584
20,0.6048228859048208,0.05629150032915148,0.6660772583133302,0.0207100305961871,0.49431462684571736,0.021837528349415287,0.42217430856272375,0.016083776980179137
21,0.615912271351577,0.06114307814095904,0.6675257772626904,0.023291318220131713,0.49132188904694524,0.025185726900598223,0.4182840076517869,0.013796215124563272
22,0.615506769846077,0.05614632092342012,0.6698341850248528,0.02902338246708035,0.49387511930627515,0.02698806531429929,0.4153357392723872,0.015451714384614746
23,0.616760765120213,0.05547387044772442,0.6769823002244809,0.020405071935371603,0.49073647532551873,0.029105773062265076,0.4114884545576083,0.013673189652390344
24,0.614993439035666,0.05964649636141051,0.6771404095045148,0.017766345421275885,0.4915821220199206,0.027147303131060247,0.40758704707722754,0.014610898032206639
25,0.623841163191667,0.049371332766958036,0.6844575053128358,0.021789442345782284,0.4917208281367157,0.0274981421801821,0.4054202246410446,0.015733642042920923
26,0.6203762454114171,0.051230262512913134,0.6899634693044057,0.016202836246026364,0.4917474094236466,0.027877358561349964,0.401871072629204,0.015941255435645
27,0.6321536397915001,0.04528950510649147,0.6943981135757797,0.016729622293490464,0.4926103159781223,0.029512864790178485,0.39952918941335247,0.016304718528487222
28,0.6310784862200324,0.040516181380982945,0.6893853181082289,0.014211706187241909,0.49231473408451765,0.030536796021001608,0.3972578360169073,0.016906692774263547
29,0.6365165732150458,0.027896216567703122,0.7025125240880943,0.016820861401614453,0.49501607289577604,0.028490204278855052,0.39330875821306305,0.016075677712821042
30,0.637940865554025,0.031709929095214966,0.7003222372857185,0.022457294829464517,0.49232667453032714,0.03020246167753163,0.3892396737706648,0.0159989997576624
31,0.636580321336338,0.027555115743633105,0.7063329313198149,0.02096222612535829,0.49270672813676314,0.03178470762847724,0.38457750836892074,0.01608601817202225
32,0.6401574152742376,0.03202093359035954,0.7125972784698187,0.021829209460227265,0.4907174253806148,0.033950561732060576,0.37969344236561886,0.01638387183855507
33,0.6331800660681354,0.042681031363596196,0.7212317397727256,0.013524962198263157,0.48915674459315267,0.03711911491692853,0.3745508482844211,0.015742292583059522
34,0.6345562445023052,0.04054390324163607,0.7250193733445236,0.014770044952317965,0.49119136969650146,0.03483430301348833,0.3698944109036037,0.015913593138072446
35,0.6297330164388987,0.04217416431445175,0.7307977984386355,0.014834456358173275,0.49124752714666975,0.03721434626451737,0.36505366680466217,0.015206106052597063
36,0.6259201036926123,0.03639243277888882,0.7349403358557953,0.016155648756890562,0.4912248617591831,0.03648002530206765,0.3594810662783046,0.014150622572899696
37,0.6311718083459799,0.039997290322959046,0.7423943340152338,0.018222190012656722,0.491200684665354,0.03639973930838495,0.3547256032498452,0.01401467225507794
38,0.6327821128451381,0.04377920274760147,0.7488679048329154,0.017610099282497266,0.49409397053693727,0.036774771111424416,0.3503705907890689,0.01434907477280337
39,0.6324493619624652,0.035023334296845114,0.7487539428489983,0.01946584988745923,0.49784427633740486,0.03949764869814111,0.34503029789442274,0.013686189530431655
40,0.6231885340436603,0.03822947638568556,0.7606809944350799,0.021772416749954435,0.5008976491169232,0.04334723245986202,0.33941683663143424,0.01426016813325929
41,0.6245108843794811,0.04283744957325328,0.7642726820453694,0.024334530644462327,0.5017347100786375,0.04236597217229984,0.33569316904676805,0.013726462735426619
42,0.6279167373935068,0.041047212564120805,0.7713707695200749,0.023640392889589575,0.5011201955048505,0.04319540779229821,0.3313823453702792,0.015734501049411966
43,0.6149231813937697,0.04136006122633146,0.7794477958962148,0.028555797173897245,0.4987374849413987,0.03830274184826089,0.3255989308419573,0.015863180170637668
44,0.6215739240960723,0.04586824261199285,0.7860189608074064,0.026904193667540734,0.5019706472036212,0.03532661760492497,0.32194679193284503,0.016993374853188623
45,0.6243711366711338,0.03606763293454924,0.7906337177415276,0.02967743255895483,0.5045789502946721,0.037353086336624576,0.31714679834368253,0.01875204289482432
46,0.6119692472733774,0.03939898467431348,0.7925998005274331,0.03153461171343067,0.509485391065983,0.03817691809583152,0.3115918782363375,0.018387151273256082
47,0.6091736735983628,0.04191934148867836,0.7987625445795397,0.0280596825127024,0.5068005820299449,0.04314197140040035,0.30776366463855254,0.019118770772843373
48,0.6170332629526272,0.03993788450779693,0.8056033477179227,0.023048722242757197,0.5076195025025013,0.045390551352534184,0.3031209831760755,0.017946530931288417
49,0.6082544811876044,0.03677861473060338,0.8085689338381681,0.021690281956707726,0.5104494179264529,0.041426634168969835,0.30028252860561333,0.017005138625066717
50,0.61093357262616,0.039480830447799424,0.811678346065667,0.02211985254657673,0.5133443968130955,0.04294108075494814,0.2971101206019765,0.01659587268688377
51,0.6103653183150055,0.03676636990725208,0.8163441341769877,0.021593612974394483,0.5125383669122949,0.04623601562316651,0.292945379031267,0.015732658671667593
52,0.6203767346445173,0.040470102258580026,0.8240866044248613,0.019796385561143496,0.5089183835990526,0.04479129908478679,0.28822935531347194,0.015629512178763384
53,0.621782517493153,0.035499007176921636,0.8277944318995536,0.021488153053567542,0.5108304793688001,0.04481637493152825,0.2841634757018737,0.014922506743808718
54,0.6282791300183322,0.04431167159487257,0.8338701797386975,0.019005199518220644,0.5113392864605478,0.04601949114252085,0.2810518179376765,0.01479223827639674
55,0.6263237185743529,0.03822290380535055,0.8367743095227285,0.01674031561724713,0.5135778038336343,0.04595849334801043,0.2780497792276834,0.015327916678037923
56,0.6168100629070042,0.04285165246169547,0.8383060333454416,0.018483166991364507,0.5162840414966509,0.047492771807772505,0.275242693919778,0.014873810870469918
57,0.6216419130493798,0.03215069148294463,0.8414421776163866,0.020592347574726163,0.5207170796919801,0.04920791744314628,0.2712467626135137,0.014343767725620956
58,0.6203726386025632,0.025182699610972244,0.844714624872547,0.018954896798278543,0.5218958612332611,0.04809909069316965,0.2671769809011493,0.014295021290618616
59,0.6256630312757808,0.036992280316063705,0.8505104055840059,0.01533793353974865,0.5242951148143054,0.04484575179720098,0.26386465795777725,0.013932284176392225
60,0.6298080284218898,0.035491550531264834,0.8560567465201518,0.018356829079565304,0.53019110142055,0.044941279176611754,0.2601738735186989,0.014324231520674007
61,0.6274066659413193,0.022179420500142058,0.8616155745152083,0.013349526872341666,0.5394931623331345,0.04402780522918037,0.25594513860666707,0.01344741280639458
62,0.6273264207409175,0.02346568901958351,0.8667222970914903,0.015490256745775434,0.5382693400890574,0.04829585457709205,0.2521824141438753,0.012158311628834595
63,0.6323109045598437,0.023665601873419106,0.8699561803645434,0.011962825333847434,0.5383610243527922,0.04717179266661782,0.24870169874185244,0.0101739800835004
64,0.6231920417712562,0.01439894885504345,0.8723108838362291,0.009959021669090518,0.542733071779908,0.046929080181123975,0.24584254806309414,0.01024277577024782
65,0.6319514774274549,0.018224355162177065,0.8773358966603848,0.008783641571292834,0.5417722832544205,0.04668591129756141,0.24305214715203816,0.009498819777013136
66,0.6334239597474008,0.028135536083149164,0.8790355241510477,0.007541419723508283,0.5425900679565746,0.0472853414703328,0.24004582375474465,0.009106514922310883
67,0.6347720959076082,0.016012672199442204,0.8820431475716027,0.009469429975485482,0.5419648549637566,0.045857343588586966,0.23773166594368217,0.009098193093625861
68,0.6320902998582721,0.01939684750355635,0.8827878936174711,0.013239160712165141,0.5390993683803389,0.047020760641350086,0.23476447587460175,0.009842951566684596
69,0.6303056720951844,0.01954903712493721,0.8866921337991011,0.01177633136875724,0.5395696325566667,0.050526310166543076,0.23105424523331658,0.00894432922945802
70,0.6295815351222445,0.018979386862439853,0.8882301714885937,0.009193211689186345,0.5396738970688626,0.052743496763382046,0.22765283285540616,0.007740500002657974
71,0.6304842228099814,0.021058848891733997,0.8899646521013903,0.008721389596977915,0.5405929413596898,0.052689876557925425,0.22427178326038316,0.007671671150683061
72,0.6278158858372233,0.024693456232985894,0.8933416632420886,0.00803996801065047,0.5399838303546364,0.05449804335030193,0.22207922925346724,0.007412713097866775
73,0.6236152969821206,0.024474566950116437,0.8957901210108694,0.010152302497168843,0.5396761849175901,0.05243020616818789,0.2195377003134388,0.008251009234301217
74,0.623627277937665,0.02701892687047393,0.8983884627540298,0.009192390943535108,0.5427311932900849,0.0523844555611413,0.2172382162130328,0.00801632561295504
75,0.6236633611961995,0.0336792712680653,0.90164976853752,0.01066921298273599,0.5431381873190281,0.054145073011565806,0.2153336365240702,0.008147851421436555
76,0.6212279983938643,0.029414744777803314,0.9051996803853644,0.009543779836066014,0.5440048309179911,0.05502374302057461,0.21283372597900643,0.008188748953087127
77,0.6236880730706638,0.029961814461753323,0.9090885859172418,0.00794254494821227,0.5452158888823447,0.05410030350305167,0.21058744376558258,0.008369354509480249
78,0.6272492081870225,0.029530288080294537,0.908478973398316,0.007411513892790339,0.548135787684533,0.06213478423975928,0.20756634056996504,0.009064576547049669
79,0.6234783291413253,0.032429300675904105,0.9108808764321727,0.010074798878893834,0.5523349291121233,0.06295370800588418,0.20536598393910904,0.00924086449427811
80,0.6241656614177609,0.034051440666318114,0.9148997523362057,0.012169141532131321,0.5543861380335946,0.06077925236080883,0.20227592814844436,0.009662909397807616
81,0.624227252173978,0.038039094703293266,0.918834601314417,0.010673296703186048,0.5541700503092548,0.05903135853859843,0.1992577440401408,0.008690264323263079
82,0.6269995294017008,0.036297226922346604,0.9188380626271924,0.007791894000934802,0.5539963510446071,0.05967389474858424,0.19589336211741507,0.008360822628826658
83,0.6254697293628734,0.0382714645082528,0.919220135896994,0.010433794867284005,0.5526758088419722,0.058807534076286826,0.1935771732409755,0.008351167237870952
84,0.628260810292198,0.035246953783869384,0.9231279246666695,0.009728887651639304,0.5529577713799246,0.05852486431218825,0.19138848609483725,0.008578109545012319
85,0.619498198030308,0.027869867263842496,0.9231185009631406,0.010661681763458023,0.5564776814151379,0.061036523188879255,0.18871741043186246,0.00814548371260419
86,0.6174498736762888,0.023817392397472624,0.9257192077153172,0.007138442071834571,0.558897682535964,0.06240208005576809,0.18649258696948817,0.007387064887880652
87,0.6158337120601272,0.026337907712927197,0.9294638957384972,0.008552167577982887,0.5608555255629195,0.06352327891330599,0.18426434877989245,0.00789736981236994
88,0.6169607983941561,0.023495135657492124,0.9298474573387578,0.009138276099223106,0.5624563739753692,0.06510081122465998,0.18234987030701885,0.008349385280525267
89,0.6156065784698346,0.020109744687490515,0.9332463947934964,0.007690147010041427,0.5631144068750243,0.06483996661687025,0.18044488194514496,0.008857991659874654
90,0.6180714993641884,0.02165776290996871,0.9347516029216347,0.006507883921546907,0.5635199671048345,0.06479870030645121,0.1778944189307463,0.008602920093683256
91,0.6153600877840115,0.02181087516836998,0.9371720848920055,0.0041927995483907335,0.5658761837962001,0.06933501564596813,0.17563182617012466,0.00893040759849659
92,0.6203673757888131,0.029212502163168754,0.9376842785943513,0.0043502356817963,0.5676254562619554,0.07168854865018813,0.17359141638219294,0.008805093874001179
93,0.619575657891023,0.02243449387069692,0.9396537164544604,0.00784437644606534,0.570201269277423,0.07194258293535484,0.17141915584086315,0.009674004543863655
94,0.6182112617681017,0.01900257078252939,0.9416604218640299,0.009522918003700514,0.5715478648668983,0.06867776510200342,0.16900040031036725,0.009789930480852253
95,0.6190239448703656,0.02889375460071692,0.9430820838379589,0.00956023859476634,0.5747144785285679,0.06759444051952135,0.16764626757367185,0.010210228503240253
96,0.6272734722133921,0.026271871244583904,0.9456283622268437,0.010067234587467618,0.5752008433120214,0.06912550007437072,0.1649380699241241,0.011058890202110698
97,0.6228109509479632,0.03226647491567913,0.9450058768990655,0.01079557610924765,0.5750573791741247,0.06804206118505976,0.16294905545542995,0.011026611754275535
98,0.6305318237657687,0.032299870492933966,0.9487872329126563,0.009881275129203048,0.5750577786299345,0.06961928599959395,0.16074566907558635,0.011250043191181242
99,0.6268960779281879,0.02692221535306012,0.9483341995097,0.01029056253297662,0.5755567842593875,0.06875579566797513,0.15847663602707565,0.011029854892738968
100,0.6322547701315722,0.03269477129551982,0.9517777134355064,0.009914468751984037,0.5755369406939762,0.06969817158966699,0.1566199545645474,0.010295166268242275
